Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
12/29/1978,78.53,55.93,#N/A,64,#N/A,#N/A,#N/A,#N/A,78.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.93,#N/A,78.53,#N/A,#N/A,#N/A,#N/A
1/1/1979,78.53,55.93,#N/A,64,#N/A,#N/A,#N/A,#N/A,78.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.93,#N/A,78.53,#N/A,#N/A,#N/A,#N/A
1/2/1979,78.8,56.02,132.96,64.43,59.66,90.97,14.66,#N/A,78.8,#N/A,68.14,6.04,80.53,42.6,#N/A,#N/A,31.05,56.02,#N/A,78.8,11.49,#N/A,59.66,41.27
1/3/1979,75.96,54.68,134.67,62.42,59.81,92.56,14.73,#N/A,75.96,#N/A,68.49,6.07,80.95,42.82,#N/A,#N/A,31.21,54.68,#N/A,75.96,11.35,#N/A,59.81,41.13
1/4/1979,77.54,55.82,134.53,63.97,59.75,92.69,14.81,#N/A,77.54,#N/A,68.86,6.1,81.38,43.05,#N/A,#N/A,31.38,55.82,#N/A,77.54,11.4,#N/A,59.75,41.47
1/5/1979,78.35,56.45,137.33,64.54,60.71,94.54,15.07,#N/A,78.35,#N/A,70.07,6.21,82.81,43.8,#N/A,#N/A,31.93,56.45,#N/A,78.35,11.6,#N/A,60.71,42.19
1/8/1979,77.52,55.65,136.88,63.68,60.97,94.27,15.06,#N/A,77.52,#N/A,69.56,6.2,82.27,43.74,#N/A,#N/A,31.89,55.65,#N/A,77.52,11.64,#N/A,60.97,42.18
1/9/1979,77.83,56.02,135.68,64.14,60.24,94.3,14.9,#N/A,77.83,#N/A,68.86,6.14,81.45,43.3,#N/A,#N/A,31.57,56.02,#N/A,77.83,11.52,#N/A,60.24,41.76
1/10/1979,76.69,55.28,133.58,63.56,59.22,92.56,14.75,#N/A,76.69,#N/A,68.14,6.07,80.6,42.85,#N/A,#N/A,31.24,55.28,#N/A,76.69,11.34,#N/A,59.22,41.07
1/11/1979,76.67,55.47,134.83,63.7,59.38,93.82,14.84,#N/A,76.67,#N/A,68.56,6.11,81.09,43.11,#N/A,#N/A,31.43,55.47,#N/A,76.67,11.36,#N/A,59.38,41.31
1/12/1979,75.61,54.71,131.95,63.02,58.18,92.24,14.58,#N/A,75.61,#N/A,67.35,6,79.66,42.35,#N/A,#N/A,30.88,54.71,#N/A,75.61,11.05,#N/A,58.18,40.45
1/15/1979,75.35,54.61,131.82,62.9,58.1,93.03,14.57,#N/A,75.35,#N/A,66.52,5.91,78.1,41.83,#N/A,#N/A,30.87,54.61,#N/A,75.35,11.06,#N/A,58.1,40.46
1/16/1979,76.67,55.34,133.15,63.7,59.02,93.03,14.69,#N/A,76.67,#N/A,67.06,5.95,78.73,42.18,#N/A,#N/A,31.12,55.34,#N/A,76.67,11.18,#N/A,59.02,40.9
1/17/1979,78.96,56.81,136.61,65.47,60.52,95.17,15.06,#N/A,78.96,#N/A,68.76,6.1,80.73,43.24,#N/A,#N/A,31.91,56.81,#N/A,78.96,11.58,#N/A,60.52,42.02
1/18/1979,80.52,57.8,138.07,66.66,61.26,95.9,15.22,#N/A,80.52,#N/A,69.5,6.17,81.59,43.71,#N/A,#N/A,32.25,57.8,#N/A,80.52,11.64,#N/A,61.26,42.4
1/19/1979,80.11,57.59,144.5,66.53,63.55,100.2,15.87,#N/A,80.11,#N/A,72.45,6.43,85.05,45.56,#N/A,#N/A,33.62,57.59,#N/A,80.11,12.2,#N/A,63.55,44.25
1/22/1979,81.65,58.76,142.89,67.98,62.95,99.55,15.43,#N/A,81.65,#N/A,72.36,6.4,84.99,45.39,#N/A,#N/A,33.37,58.76,#N/A,81.65,12.02,#N/A,62.95,43.83
1/23/1979,79.92,57.59,140.57,66.62,61.82,97.86,15.5,#N/A,79.92,#N/A,71.18,6.3,83.61,44.65,#N/A,#N/A,32.83,57.59,#N/A,79.92,11.85,#N/A,61.82,43.06
1/24/1979,82.04,59.04,142.84,68.25,63.1,99.37,15.75,#N/A,82.04,#N/A,72.34,6.4,84.97,45.38,#N/A,#N/A,33.36,59.04,#N/A,82.04,12.04,#N/A,63.1,43.82
1/25/1979,81.25,58.75,144.44,67.83,63.36,100.49,15.84,#N/A,81.25,#N/A,72.78,6.44,85.48,45.65,#N/A,#N/A,33.56,58.75,#N/A,81.25,12.12,#N/A,63.36,44.01
1/26/1979,81.81,59.02,144.16,68.23,63.24,99.83,15.77,#N/A,81.81,#N/A,72.45,6.41,85.11,45.45,#N/A,#N/A,33.42,59.02,#N/A,81.81,12.06,#N/A,63.24,43.9
1/29/1979,81.72,59.26,144.52,68.16,63.19,100,15.43,#N/A,81.72,#N/A,72.25,6.39,84.77,45.15,#N/A,#N/A,33.37,59.26,#N/A,81.72,12,#N/A,63.19,43.9
1/30/1979,81.13,58.79,144.49,67.6,62.99,99.73,15.71,#N/A,81.13,#N/A,72.06,6.38,84.55,45.03,#N/A,#N/A,33.28,58.79,#N/A,81.13,11.99,#N/A,62.99,43.82
1/31/1979,81.2,59.1,139.11,67.89,60.42,95.96,15.05,#N/A,81.2,#N/A,69.03,6.11,80.99,43.14,#N/A,#N/A,31.27,59.1,#N/A,81.2,11.49,#N/A,60.42,42.02
2/1/1979,79.69,58.29,145.27,66.93,63.15,100.46,15.76,#N/A,79.69,#N/A,72.27,6.39,84.79,45.16,#N/A,#N/A,32.74,58.29,#N/A,79.69,11.95,#N/A,63.15,43.87
2/2/1979,80.02,58.55,142.71,67.24,62.33,99.43,15.6,#N/A,80.02,#N/A,71.53,6.33,83.92,44.7,#N/A,#N/A,32.41,58.55,#N/A,80.02,11.78,#N/A,62.33,43.38
2/5/1979,84.47,61.31,147.14,70.63,64.64,102.16,16.12,#N/A,84.47,#N/A,74.15,6.52,86.06,45.88,#N/A,#N/A,33.49,61.31,#N/A,84.47,12.23,#N/A,64.64,44.94
2/6/1979,84.95,61.53,148.84,70.85,65.54,103.4,16.33,#N/A,84.95,#N/A,75.1,6.6,87.16,46.46,#N/A,#N/A,33.92,61.53,#N/A,84.95,12.46,#N/A,65.54,45.61
